,index,id,target,enzyme,pathway,smile,name
14,14,DB00783,P03372|Q92731|O75469|P43681|Q15596|Q99527|P00846|Q14457|P37059|P62508,P08684|P05177|P20815|P24462|P22309|P04798|Q16678|P33261|P10632|P11712,hsa:2099|hsa:2100|hsa:8856|hsa:1137|hsa:10499|hsa:2852|hsa:4508|hsa:8678|hsa:3294|hsa:2104,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,Estradiol
15,15,DB00631,P09884|P23921,P27707,hsa:5422|hsa:6240,[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12,Clofarabine
16,16,DB00933,P28223|P14416,P10635,hsa:3356|hsa:1813,CN1CCCCC1CCN1C2=C(SC3=C1C=C(C=C3)S(C)=O)C=CC=C2,Mesoridazine
17,17,DB01219,P21817,P08684,hsa:6261,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,Dantrolene
18,18,DB00608,P09210|P01375|Q9NR96|Q8MU52,P08684|P10635|P04798|P10632|P20815,hsa:2939|hsa:7124|hsa:54106,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,Chloroquine
19,19,DB01043,Q8TCU5|Q12879|Q13224|P46098|Q693P7|P14416|Q05586,P20813|P11509|P33261,hsa:116443|hsa:2903|hsa:2904|hsa:3359|hsa:1813|hsa:2902,CC12CC3CC(C)(C1)CC(N)(C3)C2,Memantine
20,20,DB01380,P04150,P08684,hsa:2908,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,Cortisoneacetate
21,21,DB11817,P23458|O60674|Q14289|P52333,P08684,hsa:3716|hsa:3717|hsa:2185|hsa:3718,CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,Baricitinib
22,22,DB01002,Q9Y5Y9,P08684|P05177,hsa:6336,CCCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,Levobupivacaine
23,23,DB00928,P26358,P32320,hsa:1786,NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,Azacitidine
24,24,DB00261,Q14432,P05177,hsa:5139,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,Anagrelide
25,25,DB08899,P10275,P10632|P08684|P11712|P33261|P20813|P10635|P20815,hsa:367,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,Enzalutamide
26,26,DB00749,P35354|P23219|P19793,P11712|O60656|P35503|Q9HAW8|P16662,hsa:5743|hsa:5742|hsa:6256,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,Etodolac
27,27,DB05381,P35367|P25021|Q9Y5N1|Q9H3N8|Q05940,P50135|P11712|P10635|P08684,hsa:3269|hsa:3274|hsa:11255|hsa:59340|hsa:6571,NCCC1=CNC=N1,Histamine
28,28,DB01122,P22303,P06276,hsa:43,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC1=CC=CC=C1Cl,Ambenonium
29,29,DB00959,P04150,P08684,hsa:2908,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,Methylprednisolone
30,30,DB01110,P10613|P29474|P35228|Q12791|Q16558|Q9Y691|Q9NPA1|Q86W47|O15554|Q92952|Q9H2S1|Q9UGI6|Q12809|Q9H252|Q9NS40|O75469,P08684|P10635|P11712|P15538|P11511|P05177|P11509|P20813|P33261|P05181,hsa:4846|hsa:4843|hsa:3778|hsa:3779|hsa:10242|hsa:27094|hsa:27345|hsa:3783|hsa:3780|hsa:3781|hsa:3782|hsa:3757|hsa:81033|hsa:90134|hsa:8856,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Miconazole
31,31,DB01197,P12821|P08253|P14780|P09960|P46663,P10635,hsa:1636|hsa:4313|hsa:4318|hsa:4048|hsa:623,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,Captopril
32,32,DB00808,P51787|P15382,P08684,hsa:3784|hsa:3753,CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,Indapamide
33,33,DB00918,P28222|P28221,P21397|P08684|P10635|P31513|P05177|P33261|P05181|P10632,hsa:3351|hsa:3352,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,Almotriptan
34,34,DB01126,P31213|P18405,P08684|P20815,hsa:6716|hsa:6715,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])NC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)NC1=CC(=CC=C1C(F)(F)F)C(F)(F)F,Dutasteride
35,35,DB01233,P14416|P11229|Q13639|P46098|P22303,P10635|P15538|P19099|P05093,hsa:1813|hsa:1128|hsa:3360|hsa:3359|hsa:43,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,Metoclopramide
36,36,DB00694,P11388|Q02880,P08684|P20815|P05177|P04798|Q16678|P47989|P16435,hsa:7153|hsa:7155,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,Daunorubicin
37,37,DB00594,P37088|P51168|P51170|P51172|P19801|Q16515|P78348|P19634|P00749,P19801|Q9TRC7,hsa:6337|hsa:6338|hsa:6340|hsa:6339|hsa:26|hsa:40|hsa:41|hsa:6548|hsa:5328,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,Amiloride
38,38,DB00788,P23219|Q51911|P35354,P11712|P05177|P10632|P22309|P16662,hsa:5742|hsa:5743,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,Naproxen
39,39,DB00690,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|Q8N1C3|P18507|Q99928|O14764|P78334|O00591|P24046|P28476|A8MPY1|Q9UN88,P05181|P11509|P08684,hsa:2554|hsa:2555|hsa:2556|hsa:2557|hsa:2558|hsa:2559|hsa:2560|hsa:2561|hsa:2562|hsa:2565|hsa:2566|hsa:2567|hsa:2563|hsa:2564|hsa:2568|hsa:2569|hsa:2570|hsa:200959|hsa:55879,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,Flurazepam
40,40,DB01275,Q16853|P13674,P08684,hsa:8639|hsa:5033,NNC1=NN=CC2=CC=CC=C12,Hydralazine
41,41,DB00688,P20839|P12268,P22309|Q9HAW7|P19224|O60656|P16662|Q9HAW9|Q9HAW8|P23141|O00748|P08684|P20815|P10632,hsa:3614|hsa:3615,COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C,Mycophenolatemofetil
42,42,DB00276,P11388|Q12809|P02763|P02768,P10635,hsa:7153|hsa:3757|hsa:5004|hsa:213,COC1=C(NC2=C3C=CC=CC3=NC3=CC=CC=C23)C=CC(NS(C)(=O)=O)=C1,Amsacrine
43,43,DB00188,P28074|P20618,P08684|P33261|P10635|P05177|P11712,hsa:5693|hsa:5689,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,Bortezomib
44,44,DB00934,P23975|P35367|P11229|P08172|P20309|P08173|P08912|BE0004863|P28223|P28335|P34969|P14416|BE0004864,P10635|P05177,hsa:6530|hsa:3269|hsa:1128|hsa:1129|hsa:1131|hsa:1132|hsa:1133|hsa:3356|hsa:3358|hsa:3363|hsa:1813,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,Maprotiline
45,45,DB00711,P09917|P23219,P06276,hsa:240|hsa:5742,CCN(CC)C(=O)N1CCN(C)CC1,Diethylcarbamazine
46,46,DB11737,P00533,P08684|P05177,hsa:1956,C#CC1=CC=CC(NC2=NC=NC3=CC4=C(OCCOCCOCCO4)C=C23)=C1,Icotinib
47,47,DB00977,P03372|O75469|P04278,P08684|P10632,hsa:2099|hsa:8856|hsa:6462,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,Ethinylestradiol
48,48,DB00502,P14416|P21728|Q13224|P28223|P35462|Q99705|Q05940,P20815|P24462|P05177|P10635|P08684|P16152|O60656|P04798|P33261|P11712,hsa:1813|hsa:1812|hsa:2904|hsa:3356|hsa:1814|hsa:2847|hsa:6571,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,Haloperidol
49,49,DB01142,P35367|P25021|P23975|P31645|P28223|P41595|P28335|P11229|P08172|P20309|P08173|P08912|P35348|P35368|P25100|P08908|P08913|P18089|P18825|P14416|P50406|Q9H3N8|Q12809,P10635|P33261|P11712|P05177|P08684,hsa:3269|hsa:3274|hsa:6530|hsa:6532|hsa:3356|hsa:3357|hsa:3358|hsa:1128|hsa:1129|hsa:1131|hsa:1132|hsa:1133|hsa:148|hsa:147|hsa:146|hsa:3350|hsa:150|hsa:151|hsa:152|hsa:1813|hsa:3362|hsa:59340|hsa:3757,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12,Doxepin
50,50,DB00950,P35367,P10635,hsa:3269,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,Fexofenadine
51,51,DB01406,P03372|P10275|P06401|P30968|Q96P88|P13500,P11511|P08684,hsa:2099|hsa:367|hsa:5241|hsa:2798|hsa:6347,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC3=C(C[C@]12C)C=NO3,Danazol
52,52,DB00537,P43702|P43700|P11388|Q12809|P0AES4|P0C1U9|Q59192|P05653|C3T8E2|B4YQT9|P20831,P08684|P20815|P24462|P05177,hsa:7153|hsa:3757,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,Ciprofloxacin
53,53,DB06689,BMOL0000014|P00748,P05181,hsa:2161,NCCO.CCCCCCCC\C=C/CCCCCCCC(O)=O,Ethanolamineoleate
54,54,DB08820,P13569,P08684|P20815,hsa:1080,CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C,Ivacaftor
55,55,DB01095,P04035,P04798|P05177|P08684|P20815|P20813|P10632|P11712|P33261|P10635|P22309|P35503|P16662,hsa:3156,CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=CC=C(F)C=C2)C2=CC=CC=C12,Fluvastatin
56,56,DB01120,Q09428|P15692,P11712|P33261,hsa:6833|hsa:7422,[H][C@@]12CCC[C@]1([H])CN(C2)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,Gliclazide
57,57,DB00371,P14867|P47869|P34903|P48169|P31644|Q16445|BE0004797,P33261|P05181,hsa:2554|hsa:2555|hsa:2556|hsa:2557|hsa:2558|hsa:2559,CCCC(C)(COC(N)=O)COC(N)=O,Meprobamate
58,58,DB00227,P04035|P20701|Q92769,P08684|P20815|P24462|Q15166|P10632|P11712|P33261|P10635|P22309|P35503|P16662,hsa:3156|hsa:3683|hsa:3066,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,Lovastatin
59,59,DB01206,Q9H169,P08684|P10635,hsa:81551,ClCCN(N=O)C(=O)NC1CCCCC1,Lomustine
60,60,DB00199,O43193|Q12809|P02768,P08684|P24462|P05177|P20813,hsa:2862|hsa:3757|hsa:213,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Erythromycin
61,61,DB00683,P14867|P47869|P34903|P48169|P31644|P18505|P28472|P47870|Q16445|Q8N1C3|P18507|Q99928|O14764|P78334|O00591|P24046|P28476|A8MPY1|Q9UN88,P08684|P20815|P24462|P20813|P13584|P22310|P05181,hsa:2554|hsa:2555|hsa:2556|hsa:2557|hsa:2558|hsa:2560|hsa:2562|hsa:2561|hsa:2559|hsa:2565|hsa:2566|hsa:2567|hsa:2563|hsa:2564|hsa:2568|hsa:2569|hsa:2570|hsa:200959|hsa:55879,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,Midazolam
62,62,DB00590,P35348|P35368|P25100|Q12809|Q9H252|Q9NS40,P33261|P10635,hsa:148|hsa:147|hsa:146|hsa:3757|hsa:81033|hsa:90134,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1,Doxazosin
63,63,DB00270,Q13936|P54289|Q08289|O95180|Q9NY47|Q01668|Q13698,P08684,hsa:775|hsa:781|hsa:783|hsa:8912|hsa:9254|hsa:776|hsa:779,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,Isradipine
64,64,DB00951,P9WIE5|P9WGR1|P10632|P05177|P08684|P33261|P9WNX1,P08684|P05181|P11712|P05177|P10635|P33261|P11245|P9WJI5|P11509|P10632,hsa:1558|hsa:1544|hsa:1576|hsa:1557,NNC(=O)C1=CC=NC=C1,Isoniazid
65,65,DB01196,P11137|P78559|P03372|Q92731,P08684,hsa:4133|hsa:4130|hsa:2099|hsa:2100,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OC(=O)N(CCCl)CCCl)C=C3CC[C@@]21[H],Estramustine
66,66,DB00366,P35367|P11229|Q14994,Q14097,hsa:3269|hsa:1128|hsa:9970,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1,Doxylamine
67,67,DB01577,Q01959|P31645|P23975|Q05940|P54219|Q96RJ0|P08913|P18089|P18825|P21397|P27338,P10635,hsa:6531|hsa:6532|hsa:6530|hsa:6571|hsa:6570|hsa:134864|hsa:150|hsa:151|hsa:152|hsa:4128|hsa:4129,CN[C@@H](C)CC1=CC=CC=C1,Methamphetamine
68,68,DB01215,P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928|P18505|P47870|P28472|O14764|P78334|O00591|P24046|P28476|A8MPY1|BE0004797,P08684,hsa:2554|hsa:2555|hsa:2556|hsa:2558|hsa:2565|hsa:2566|hsa:2567|hsa:2560|hsa:2561|hsa:2562|hsa:2563|hsa:2564|hsa:2568|hsa:2569|hsa:2570|hsa:200959,ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1,Estazolam
69,69,DB01364,P23975|P35348|Q05940|P22303,P06276,hsa:6530|hsa:148|hsa:6571|hsa:43,CN[C@@H](C)[C@H](O)C1=CC=CC=C1,Ephedrine
70,70,DB00763,P07202,P05177|P11509|P20813|P33261|P11712|P10635|P05181|P08684,hsa:7173,CN1C=CNC1=S,Methimazole
71,71,DB00764,P04150|P06401,P10632,hsa:2908|hsa:5241,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Mometasone
72,72,DB00736,P20648,P33261|P08684,hsa:495,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,Esomeprazole
73,73,DB00266,Q9BQB6|P15559|Q08257,P11712,hsa:79001|hsa:1728|hsa:1429,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,Dicoumarol
74,74,DB01590,P42345,P08684,hsa:2475,[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC,Everolimus
75,75,DB01169,O14920|Q16881|P05412|P24385|P27361|P28482|P31749|P38936|Q13547|P29590,P04798|Q16678|P08684,hsa:3551|hsa:7296|hsa:3725|hsa:595|hsa:5595|hsa:5594|hsa:207|hsa:1026|hsa:3065|hsa:5371,O=[As]O[As]=O,Arsenictrioxide
76,76,DB01583,P10827|P10828,P10632,hsa:7067|hsa:7068,[Na+].[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O.N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C([O-])=O,Liotrix
77,77,DB01245,Q15822|P22303|P43681|P17787,P06276,hsa:1135|hsa:43|hsa:1137|hsa:1141,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,Decamethonium
78,78,DB00458,P23975|P31645|P28223|P35367|P35348|P25100|P11229|P08172|P20309|P08173|P08912|Q9NZV8|Q9UK17|P28335|P35368|P34969|BE0004889|P14416|Q12809|Q01959|P08908|P50406|O95259|P19652,P10635|P33261|P05177|P08684|P24462|P20813|P33260|P05181,hsa:6530|hsa:6532|hsa:3356|hsa:3269|hsa:148|hsa:146|hsa:1128|hsa:1129|hsa:1131|hsa:1132|hsa:1133|hsa:3751|hsa:3752|hsa:3358|hsa:147|hsa:3363|hsa:1813|hsa:3757|hsa:6531|hsa:3350|hsa:3362|hsa:3756|hsa:5005,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,Imipramine
79,79,DB00668,P35348|P35368|P08588|P07550|P08913|P18089|P25100|P00439|P18825|P13945|P01375|P00441,P05177|P11712|P08684,hsa:148|hsa:147|hsa:153|hsa:154|hsa:150|hsa:151|hsa:146|hsa:5053|hsa:152|hsa:155|hsa:7124|hsa:6647,CNC[C@H](O)C1=CC(O)=C(O)C=C1,Epinephrine
80,80,DB00307,P19793|P28702|P48443,P08684|P11712,hsa:6256|hsa:6257|hsa:6258,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,Bexarotene
81,81,DB00422,Q01959|P23975|P31645,P10635|Q6LAP9,hsa:6531|hsa:6530|hsa:6532,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,Methylphenidate
82,82,DB00324,P04150,P08684,hsa:2908,[H][C@@]12CC[C@](O)(C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,Fluorometholone
83,83,DB00186,BE0004797|P30536,P54855,hsa:706,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,Lorazepam
84,84,DB01175,P31645|Q01959|P23975|P35348|P11229|P35367,P08684|P33261|P10635,hsa:6532|hsa:6531|hsa:6530|hsa:148|hsa:1128|hsa:3269,CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,Escitalopram
85,85,DB00719,P35367,P08684,hsa:3269,CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2,Azatadine
86,86,DB04908,P08908|P28223|P21917,P08684,hsa:3350|hsa:3356|hsa:1815,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,Flibanserin
87,87,DB00988,P14416|P21728|P21918|P35462|P21917|Q01959|P09172|P08908|P34969|BE0004889|P23975|P31645|P46098|O95264|P00441|Q05940,P21397|P27338|P21964|P09172|P05177|P33261|P11712|P10635,hsa:1813|hsa:1812|hsa:1816|hsa:1814|hsa:1815|hsa:6531|hsa:1621|hsa:3350|hsa:3363|hsa:6530|hsa:6532|hsa:3359|hsa:9177|hsa:6647|hsa:6571,NCCC1=CC(O)=C(O)C=C1,Dopamine
88,88,DB06237,O76074,P08684,hsa:8654,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1,Avanafil
89,89,DB08918,P31645|P23975,P08684|P10632|P33261|P10635|P51589,hsa:6532|hsa:6530,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1,Levomilnacipran
90,90,DB03756,Q07869|P37231|P19793|P28702|P48443|P36956,P11712,hsa:5465|hsa:5468|hsa:6256|hsa:6257|hsa:6258|hsa:6720,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O,Doconexent
91,91,DB00283,P35367,P10635|P08684,hsa:3269,CN1CCC[C@@H]1CCO[C@](C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,Clemastine
92,92,DB00584,P12821,P08684,hsa:1636,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,Enalapril
93,93,DB00158,P14207|P41439|P15328,P05181|Q92820|P42898,hsa:2350|hsa:2352|hsa:2348,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,Folicacid
94,94,DB00530,P00533|O75469,P08684|P20815|P05177|P04798|P10635|P10632|Q16678|P22309,hsa:1956|hsa:8856,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2,Erlotinib
95,95,DB00262,P00390,P05177,hsa:2936,ClCCNC(=O)N(CCCl)N=O,Carmustine
96,96,DB00623,P14416|P21728|P0DP23|P10275|P28223|P28335,P10635|P05177|P05181,"hsa:1813|hsa:1812|hsa:801,hsa:805,hsa:808|hsa:367|hsa:3356|hsa:3358",OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,Fluphenazine
97,97,DB00882,P03372|P04278,P05108|P11511|P04798|P05177|P11509|P05181|P08684,hsa:2099|hsa:6462,CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,Clomifene
98,98,DB09166,P14867|P47869|P34903|P18507|P25105,P08684|P33260|P33261,hsa:2554|hsa:2555|hsa:2556|hsa:2566|hsa:5724,CCC1=CC2=C(S1)N1C(C)=NN=C1CN=C2C1=CC=CC=C1Cl,Etizolam
99,99,DB04871,P28335,P05177|P11509|P20813|P33261|P10635|P08684|Q01740|P04798,hsa:3358,C[C@H]1CNCCC2=CC=C(Cl)C=C12,Lorcaserin
100,100,DB00182,Q05940|Q01959|Q16568|Q96RJ0|P23975|BE0004888|BE0004872|P14416|P27338|P31645|BE0004909|Q99870,P10635|P11509,hsa:6571|hsa:6531|hsa:9607|hsa:134864|hsa:6530|hsa:1813|hsa:4129|hsa:6532,CC(N)CC1=CC=CC=C1,Amphetamine
